age,gender,education,province,employment_status,industry,marital_status,location_type,years_experience,work_hours_per_week,income,health_score,life_satisfaction
56,male,high_school,Prairies,employed,retail,married,rural,40,32.8,72409.35,71.93,6.01
69,male,masters,BC,employed,finance,married,rural,46,47.0,108676.15,61.67,5.69
46,male,high_school,Alberta,student,healthcare,single,rural,31,27.2,78458.65,74.89,5.85
32,female,masters,BC,employed,finance,married,rural,13,34.8,43545.54,79.08,6.21
60,female,bachelors,Quebec,employed,construction,single,suburban,44,33.1,88981.57,72.92,6.14
25,male,masters,Atlantic,unemployed,retail,single,urban,8,38.8,39371.39,89.6,6.74
78,female,bachelors,Alberta,employed,healthcare,divorced,rural,59,44.7,106251.95,67.95,7.11
38,male,masters,Prairies,employed,education,married,suburban,20,47.7,53999.37,84.3,5.82
56,male,high_school,Ontario,student,healthcare,divorced,suburban,41,45.3,86628.77,75.77,6.64
75,female,bachelors,Quebec,retired,retail,married,rural,61,52.9,86681.73,67.09,7.16
36,male,high_school,Atlantic,retired,tech,single,suburban,18,32.3,41779.22,82.49,6.62
40,non_binary,bachelors,Ontario,employed,healthcare,divorced,urban,19,43.3,54182.15,87.37,6.35
28,male,bachelors,BC,retired,healthcare,single,rural,9,34.9,49718.61,83.56,6.61
28,female,bachelors,Atlantic,unemployed,tech,single,rural,16,38.6,30485.03,84.9,7.15
41,male,bachelors,BC,employed,retail,divorced,urban,25,38.4,52439.97,69.99,6.19
70,male,high_school,BC,employed,education,divorced,suburban,54,25.6,99727.6,66.48,6.41
53,male,bachelors,Prairies,employed,education,married,rural,35,41.9,71206.57,74.5,5.94
57,female,bachelors,BC,unemployed,finance,married,urban,41,40.7,88969.61,80.38,6.97
41,female,high_school,Ontario,unemployed,education,divorced,urban,22,39.9,44619.48,74.12,5.53
20,female,masters,Quebec,student,education,married,rural,3,36.6,16743.72,88.56,7.55
39,male,phd,Prairies,employed,healthcare,single,urban,18,18.2,68116.23,80.86,6.47
70,male,masters,Quebec,employed,finance,single,rural,48,41.1,97620.29,72.39,6.06
19,male,masters,BC,employed,education,single,suburban,0,45.6,19286.91,87.27,7.78
41,female,high_school,Alberta,retired,healthcare,single,rural,26,56.8,48666.3,83.84,6.7
61,female,phd,Atlantic,unemployed,finance,single,rural,39,43.6,104973.52,74.08,6.0
47,male,bachelors,Prairies,employed,healthcare,single,urban,35,66.7,75789.02,74.6,6.52
55,female,high_school,BC,employed,tech,married,urban,39,40.2,91990.2,69.64,5.56
19,male,masters,Prairies,unemployed,retail,divorced,suburban,3,42.3,8383.33,100.05,8.6
77,female,high_school,Alberta,employed,retail,divorced,rural,55,37.9,94128.44,63.69,8.55
38,female,bachelors,Ontario,unemployed,retail,married,suburban,18,34.9,46168.29,73.54,5.38
50,male,high_school,Ontario,employed,education,married,urban,32,45.8,68652.44,74.92,6.72
29,male,bachelors,Atlantic,unemployed,retail,married,suburban,11,52.6,34973.51,82.24,6.79
75,non_binary,bachelors,Ontario,employed,retail,divorced,rural,61,45.3,88907.91,61.36,7.05
39,female,bachelors,Alberta,employed,finance,married,rural,19,42.3,69400.42,81.39,5.74
78,female,high_school,Quebec,retired,finance,married,rural,62,36.4,96667.63,66.94,7.01
61,female,bachelors,Alberta,employed,construction,divorced,urban,46,39.6,95619.09,62.71,6.6
42,male,bachelors,Alberta,employed,finance,married,urban,24,39.8,78270.35,81.03,5.92
66,female,high_school,BC,retired,education,single,rural,47,42.5,86930.53,74.47,5.53
44,female,masters,Ontario,employed,construction,divorced,urban,21,41.1,75542.07,74.77,6.5
76,female,bachelors,Prairies,unemployed,construction,divorced,suburban,58,30.9,108694.54,60.1,7.45
80,male,masters,Atlantic,employed,retail,divorced,suburban,64,54.3,102039.55,60.03,7.54
59,male,high_school,Quebec,employed,education,married,rural,38,60.0,76129.16,71.0,6.74
45,male,high_school,Prairies,employed,education,divorced,urban,23,39.6,63387.32,78.88,6.36
77,male,high_school,BC,employed,education,single,rural,57,41.0,95620.43,60.57,7.71
33,male,bachelors,BC,student,education,single,suburban,14,46.0,54268.54,81.77,5.64
32,male,high_school,Quebec,student,education,divorced,suburban,15,32.5,45076.69,83.15,6.75
79,male,bachelors,Prairies,employed,education,single,urban,61,45.2,98059.37,66.15,8.03
79,male,bachelors,Quebec,employed,construction,married,suburban,58,35.3,103867.48,58.11,7.35
64,female,high_school,Quebec,student,retail,divorced,urban,39,36.6,65136.88,67.35,6.13
79,male,bachelors,Ontario,employed,finance,single,urban,65,27.6,109706.62,61.66,6.63
68,male,phd,Prairies,employed,construction,married,suburban,45,35.8,108479.59,77.55,5.56
61,male,high_school,Ontario,employed,healthcare,divorced,suburban,42,42.2,82850.99,77.61,6.65
72,male,bachelors,Ontario,employed,healthcare,divorced,rural,53,57.4,111152.8,67.53,6.79
69,female,bachelors,Atlantic,employed,healthcare,divorced,urban,45,37.5,95791.08,61.57,6.29
74,male,bachelors,Ontario,employed,tech,single,rural,51,34.9,105782.12,71.42,6.89
20,female,masters,Alberta,employed,finance,divorced,urban,0,44.5,28345.9,94.52,8.31
54,female,phd,BC,student,retail,single,suburban,38,51.7,83881.53,74.63,6.88
68,female,bachelors,BC,employed,education,married,urban,49,53.8,90795.18,67.01,7.08
24,female,bachelors,Alberta,employed,healthcare,married,rural,5,25.7,17351.28,83.52,7.31
38,female,bachelors,Quebec,employed,finance,married,urban,19,41.0,44363.42,84.84,7.16
26,female,bachelors,Prairies,student,retail,divorced,suburban,2,58.3,17225.42,89.33,6.74
56,male,high_school,Prairies,employed,healthcare,married,rural,32,27.5,78689.6,68.89,5.46
35,male,masters,Prairies,employed,finance,single,urban,17,42.2,67493.61,78.37,6.81
21,female,masters,Ontario,student,construction,single,urban,2,42.8,5871.81,82.88,8.06
42,male,high_school,Prairies,employed,retail,single,urban,18,26.4,62767.67,88.65,6.27
77,male,high_school,Prairies,employed,construction,single,urban,59,45.4,89534.16,67.15,7.64
31,female,masters,Prairies,retired,finance,single,urban,13,46.1,44581.7,89.7,6.11
67,female,high_school,BC,employed,education,single,suburban,50,34.5,81273.49,70.38,6.62
75,male,bachelors,Alberta,employed,finance,married,suburban,58,28.1,105580.04,68.59,6.56
26,female,high_school,Atlantic,employed,finance,divorced,rural,9,53.8,15347.81,84.65,7.25
43,male,high_school,Quebec,student,tech,single,urban,24,28.9,58351.94,86.63,6.72
70,female,high_school,Alberta,employed,education,married,suburban,54,54.6,85935.04,70.11,6.99
19,male,bachelors,Prairies,unemployed,construction,married,suburban,3,43.8,24376.81,88.63,7.57
37,male,high_school,Quebec,student,finance,single,urban,17,38.4,42475.98,72.46,6.36
45,female,bachelors,Quebec,employed,education,married,rural,19,53.8,75336.9,81.17,5.93
64,male,bachelors,Alberta,student,finance,single,urban,43,37.4,105896.62,73.52,6.2
77,female,bachelors,Alberta,employed,education,divorced,rural,55,39.9,90051.79,72.08,7.29
24,male,bachelors,Alberta,employed,retail,single,rural,14,47.2,16661.29,85.41,6.75
61,male,bachelors,Atlantic,unemployed,healthcare,divorced,suburban,39,33.4,84426.72,68.58,6.38
78,female,bachelors,Alberta,employed,tech,married,rural,62,42.5,107163.79,74.49,7.5
25,male,bachelors,Atlantic,employed,healthcare,married,suburban,2,28.4,36237.33,79.58,7.88
64,male,bachelors,Ontario,unemployed,finance,single,suburban,41,46.2,107278.71,66.97,6.62
52,male,phd,BC,unemployed,finance,married,urban,37,33.1,89798.92,83.53,6.82
31,female,bachelors,Atlantic,employed,retail,married,urban,11,43.0,37785.03,89.02,7.46
34,female,high_school,BC,student,finance,divorced,rural,22,70.0,32578.78,81.8,5.83
53,non_binary,bachelors,Prairies,employed,construction,single,urban,39,32.1,73075.9,74.38,5.71
67,male,high_school,Ontario,student,education,single,urban,47,56.3,96562.23,69.1,5.92
57,male,high_school,Quebec,unemployed,construction,divorced,rural,34,39.0,83215.02,78.27,5.61
21,male,bachelors,Alberta,employed,healthcare,divorced,urban,5,48.2,27385.35,92.74,7.33
19,female,masters,Prairies,employed,finance,divorced,suburban,0,50.1,17420.4,92.32,8.79
79,male,bachelors,Quebec,unemployed,retail,single,urban,64,47.7,96655.5,69.19,8.44
23,female,masters,BC,student,tech,divorced,urban,9,42.5,21723.66,90.57,7.6
71,male,bachelors,Quebec,employed,construction,single,urban,51,21.4,99093.27,56.52,6.62
59,non_binary,high_school,Alberta,employed,healthcare,divorced,suburban,42,49.3,75166.04,75.22,5.36
21,female,phd,Alberta,employed,retail,married,rural,1,40.6,18431.72,86.88,7.35
71,female,bachelors,Atlantic,employed,retail,single,suburban,56,33.0,103744.75,79.49,6.9
46,male,masters,Atlantic,unemployed,healthcare,single,rural,25,34.4,77944.12,71.39,5.62
80,male,masters,BC,employed,retail,single,suburban,64,26.6,98239.56,59.05,8.32
35,male,masters,Alberta,unemployed,tech,married,urban,17,41.4,72702.56,83.73,7.35
43,male,high_school,Ontario,retired,tech,married,suburban,20,35.4,73419.6,73.89,5.69
61,male,high_school,Prairies,retired,finance,single,rural,38,36.7,97121.45,85.47,6.17
51,female,masters,BC,employed,education,divorced,urban,32,47.4,77143.64,79.57,5.83
27,male,bachelors,BC,unemployed,finance,single,rural,7,37.1,38140.67,83.45,6.87
